oare_id,parent_oare_id,fold,top1_score,g35_enabled,g50_enabled,g65_enabled
02d16b63-3fab-4c1d-8262-4cd74f6532f1,02d16b63-3fab-4c1d-8262-4cd74f6532f1,0,0.3105,False,False,False
02de3489-7e0e-40fb-878d-141b28b7d6ff__c1of3,02de3489-7e0e-40fb-878d-141b28b7d6ff,3,1.0,True,True,True
02de3489-7e0e-40fb-878d-141b28b7d6ff__c2of3,02de3489-7e0e-40fb-878d-141b28b7d6ff,3,1.0,True,True,True
02de3489-7e0e-40fb-878d-141b28b7d6ff__c3of3,02de3489-7e0e-40fb-878d-141b28b7d6ff,3,1.0,True,True,True
02df45ee-6d74-46fb-9870-3e546ce7d304__c1of4,02df45ee-6d74-46fb-9870-3e546ce7d304,4,0.4322,True,False,False
02df45ee-6d74-46fb-9870-3e546ce7d304__c2of4,02df45ee-6d74-46fb-9870-3e546ce7d304,4,1.0,True,True,True
02df45ee-6d74-46fb-9870-3e546ce7d304__c3of4,02df45ee-6d74-46fb-9870-3e546ce7d304,4,1.0,True,True,True
02df45ee-6d74-46fb-9870-3e546ce7d304__c4of4,02df45ee-6d74-46fb-9870-3e546ce7d304,4,1.0,True,True,True
02f0ecc7-746b-449d-803c-c05ebbda2336,02f0ecc7-746b-449d-803c-c05ebbda2336,4,0.8141,True,True,True
0309d067-0bb7-40f6-9d27-1dfb0c60e507__c1of2,0309d067-0bb7-40f6-9d27-1dfb0c60e507,1,0.3749,True,False,False
0309d067-0bb7-40f6-9d27-1dfb0c60e507__c2of2,0309d067-0bb7-40f6-9d27-1dfb0c60e507,1,0.3079,False,False,False
035670c1-3504-4084-a2e6-1ff68ade4c74,035670c1-3504-4084-a2e6-1ff68ade4c74,4,1.0,True,True,True
03826c8c-3727-4caf-b781-1cc5f6ab56e6,03826c8c-3727-4caf-b781-1cc5f6ab56e6,4,0.5326,True,True,False
03afa072-8f71-4403-b303-086f6097db3f,03afa072-8f71-4403-b303-086f6097db3f,4,0.5379,True,True,False
03f9ecf0-9c9e-461a-821c-aa0cde9398d3__c1of2,03f9ecf0-9c9e-461a-821c-aa0cde9398d3,3,0.3967,True,False,False
03f9ecf0-9c9e-461a-821c-aa0cde9398d3__c2of2,03f9ecf0-9c9e-461a-821c-aa0cde9398d3,3,1.0,True,True,True
041c9029-8f6f-40f8-989b-77a75878221c__c1of2,041c9029-8f6f-40f8-989b-77a75878221c,0,0.75,True,True,True
041c9029-8f6f-40f8-989b-77a75878221c__c2of2,041c9029-8f6f-40f8-989b-77a75878221c,0,0.3354,False,False,False
0441d9a0-cf79-4cd3-85d2-bb57fe44a6e8__c1of3,0441d9a0-cf79-4cd3-85d2-bb57fe44a6e8,4,0.4085,True,False,False
0441d9a0-cf79-4cd3-85d2-bb57fe44a6e8__c2of3,0441d9a0-cf79-4cd3-85d2-bb57fe44a6e8,4,0.5227,True,True,False
0441d9a0-cf79-4cd3-85d2-bb57fe44a6e8__c3of3,0441d9a0-cf79-4cd3-85d2-bb57fe44a6e8,4,1.0,True,True,True
0480d321-8019-4775-bb29-5ac41b659c02__c1of2,0480d321-8019-4775-bb29-5ac41b659c02,3,0.234,False,False,False
0480d321-8019-4775-bb29-5ac41b659c02__c2of2,0480d321-8019-4775-bb29-5ac41b659c02,3,0.2581,False,False,False
04810846-95dd-4ff0-bd99-33a1da243065,04810846-95dd-4ff0-bd99-33a1da243065,1,0.4168,True,False,False
0489c21d-108d-404f-a50c-d040ee16674b,0489c21d-108d-404f-a50c-d040ee16674b,2,0.363,True,False,False
04939319-b287-455f-9634-e86658e6e392,04939319-b287-455f-9634-e86658e6e392,0,0.4597,True,False,False
04dd324f-120e-44fd-9dbd-93a144906902__c1of2,04dd324f-120e-44fd-9dbd-93a144906902,2,1.0,True,True,True
04dd324f-120e-44fd-9dbd-93a144906902__c2of2,04dd324f-120e-44fd-9dbd-93a144906902,2,1.0,True,True,True
04e66f12-63a3-45ce-b27a-cc74cea47f60__c1of5,04e66f12-63a3-45ce-b27a-cc74cea47f60,0,0.44,True,False,False
04e66f12-63a3-45ce-b27a-cc74cea47f60__c2of5,04e66f12-63a3-45ce-b27a-cc74cea47f60,0,0.3896,True,False,False
04e66f12-63a3-45ce-b27a-cc74cea47f60__c3of5,04e66f12-63a3-45ce-b27a-cc74cea47f60,0,0.3347,False,False,False
04e66f12-63a3-45ce-b27a-cc74cea47f60__c4of5,04e66f12-63a3-45ce-b27a-cc74cea47f60,0,0.3113,False,False,False
04e66f12-63a3-45ce-b27a-cc74cea47f60__c5of5,04e66f12-63a3-45ce-b27a-cc74cea47f60,0,0.2958,False,False,False
05083743-603f-48b5-a6c7-f089ed845d94__c1of4,05083743-603f-48b5-a6c7-f089ed845d94,0,0.3785,True,False,False
05083743-603f-48b5-a6c7-f089ed845d94__c2of4,05083743-603f-48b5-a6c7-f089ed845d94,0,0.3198,False,False,False
05083743-603f-48b5-a6c7-f089ed845d94__c3of4,05083743-603f-48b5-a6c7-f089ed845d94,0,0.2811,False,False,False
05083743-603f-48b5-a6c7-f089ed845d94__c4of4,05083743-603f-48b5-a6c7-f089ed845d94,0,0.2801,False,False,False
05467017-cb12-40d3-8bf4-fc656b137fec,05467017-cb12-40d3-8bf4-fc656b137fec,3,1.0,True,True,True
054fdba4-0cff-4153-969d-c77e42413e1c__c1of2,054fdba4-0cff-4153-969d-c77e42413e1c,0,0.3645,True,False,False
054fdba4-0cff-4153-969d-c77e42413e1c__c2of2,054fdba4-0cff-4153-969d-c77e42413e1c,0,0.3216,False,False,False
0556fc5f-3705-46a0-a91a-838884587bc7,0556fc5f-3705-46a0-a91a-838884587bc7,2,0.2806,False,False,False
05ff2933-154f-4144-bda0-6fd4217fd00f__c1of2,05ff2933-154f-4144-bda0-6fd4217fd00f,3,0.4616,True,False,False
05ff2933-154f-4144-bda0-6fd4217fd00f__c2of2,05ff2933-154f-4144-bda0-6fd4217fd00f,3,0.4475,True,False,False
0677963f-3fac-4d49-b13e-9d6322bf6fb1__c1of3,0677963f-3fac-4d49-b13e-9d6322bf6fb1,0,0.4195,True,False,False
0677963f-3fac-4d49-b13e-9d6322bf6fb1__c2of3,0677963f-3fac-4d49-b13e-9d6322bf6fb1,0,0.4757,True,False,False
0677963f-3fac-4d49-b13e-9d6322bf6fb1__c3of3,0677963f-3fac-4d49-b13e-9d6322bf6fb1,0,0.5867,True,True,False
0685c421-0ca7-4d48-9e3e-ecd1fee4c2e6__c1of2,0685c421-0ca7-4d48-9e3e-ecd1fee4c2e6,4,0.3512,True,False,False
0685c421-0ca7-4d48-9e3e-ecd1fee4c2e6__c2of2,0685c421-0ca7-4d48-9e3e-ecd1fee4c2e6,4,0.3619,True,False,False
06a9a456-58e2-4fed-9687-913d824cadc4__c1of3,06a9a456-58e2-4fed-9687-913d824cadc4,4,0.3748,True,False,False
06a9a456-58e2-4fed-9687-913d824cadc4__c2of3,06a9a456-58e2-4fed-9687-913d824cadc4,4,0.3748,True,False,False
06a9a456-58e2-4fed-9687-913d824cadc4__c3of3,06a9a456-58e2-4fed-9687-913d824cadc4,4,0.3201,False,False,False
06bcd3b4-2ea6-4f9e-9b7c-fba145ff4e9b__c1of2,06bcd3b4-2ea6-4f9e-9b7c-fba145ff4e9b,3,1.0,True,True,True
